ПОД ВОПРОСОМ;Поле;Что проверяем;Триггеры;Метод;Если нет валидации
;Название организации;Уникальность;onblur;АПИ - БАЗА - АПИ;"Под полем сообщение об ошибке ""Такой провайдер уже зарегистрирован"" "
;Название организации;Уникальность;кнопка Далее;АПИ - БАЗА - АПИ;"Сообщение ""Такой провайдер уже зарегистрирован"" "
;Название организации;Уникальность;Завершение мастера;АПИ - БАЗА - АПИ;"Сообщение ""Такой провайдер уже зарегистрирован"" "
;Адрес организации;Чтобы адрес был распознан ;onblur;АПИ;"Под полем сообщение об ошибке ""Адрес не найден, попробуйте изменить адрес"" "
;Название организации;Уникальность;Завершение мастера;АПИ - БАЗА - АПИ;"Сообщение ""Такой провайдер уже зарегистрирован"" "
;Телефон организации;Формат;onblur;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат телефона"" "
;Телефон организации;Формат;кнопка Далее;python-stdnum;"Сообщение об ошибке ""Неверный формат телефона"" "
;Телефон организации;Формат;Завершение мастера;python-stdnum;"Сообщение об ошибке ""Неверный формат телефона"" "
;Телефон организации;Уникальность;onblur;АПИ - БАЗА - АПИ;"Под полем сообщение об ошибке ""Организация с таким номером телефона уже подала заявку или зарегистрирована"" "
;Телефон организации;Уникальность;кнопка Далее;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким номером телефона уже подала заявку или зарегистрирована"" "
;Телефон организации;Уникальность;Завершение мастера;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким номером телефона уже подала заявку или зарегистрирована"" "
;Email организации;Формат;onblur;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат e-mail"" "
;Email организации;Формат;кнопка Далее;python-stdnum;"Сообщение об ошибке ""Неверный формат e-mail"" "
;Email организации;Формат;Завершение мастера;python-stdnum;"Сообщение об ошибке ""Неверный формат e-mail"" "
;Email организации;Уникальность;onblur;АПИ - БАЗА - АПИ;"Под полем сообщение об ошибке ""Организация с таким e-mail уже подала заявку или зарегистрирована"" "
;Email организации;Уникальность;кнопка Далее;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким e-mail уже подала заявку или зарегистрирована"" "
;Email организации;Уникальность;Завершение мастера;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким e-mail уже подала заявку или зарегистрирована"" "
;Email администратора провайдера;Формат;onblur;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат e-mail администратора"" "
;Email администратора провайдера;Формат;кнопка Далее;АПИ - БАЗА - АПИ;"Под полем сообщение об ошибке ""Неверный формат e-mail администратора"" "
;Email администратора провайдера;Формат;Завершение мастера;АПИ - БАЗА - АПИ;"Под полем сообщение об ошибке ""Неверный формат e-mail администратора"" "
;ИНН / Tax ID;Формат;onblur;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат ИНН / Tax ID"" "
;ИНН / Tax ID;Формат;кнопка Далее;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат ИНН / Tax ID"" "
;ИНН / Tax ID;Формат;Завершение мастера;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат ИНН / Tax ID"" "
;ИНН / Tax ID;Уникальность;onblur;АПИ - БАЗА - АПИ;"Под полем сообщение об ошибке ""Организация с таким ИНН / Tax ID уже подала заявку или зарегистрирована"" "
;ИНН / Tax ID;Уникальность;кнопка Далее;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким ИНН / Tax ID уже подала заявку или зарегистрирована"" "
;ИНН / Tax ID;Уникальность;Завершение мастера;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким ИНН / Tax ID уже подала заявку или зарегистрирована"" "
Это возможно?;Регистрационный номер;Формат;onblur;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат Регистрационного номера"" "
Это возможно?;Регистрационный номер;Формат;кнопка Далее;python-stdnum;"Сообщение об ошибке ""Неверный формат Регистрационного номера"" "
Это возможно?;Регистрационный номер;Формат;Завершение мастера;python-stdnum;"Сообщение об ошибке ""Неверный формат Регистрационного номера"" "
У нас поле уникально? Оно должно быть уникально?;Регистрационный номер;Уникальность;onblur;АПИ - БАЗА - АПИ;"Под полем сообщение об ошибке ""Организация с таким Регистрационным номером уже подала заявку или зарегистрирована"" "
У нас поле уникально? Оно должно быть уникально?;Регистрационный номер;Уникальность;кнопка Далее;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким Регистрационным номером уже подала заявку или зарегистрирована"" "
У нас поле уникально? Оно должно быть уникально?;Регистрационный номер;Уникальность;Завершение мастера;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким Регистрационным номером уже подала заявку или зарегистрирована"" "
;VAT номер ;Формат;onblur;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат Номера плательщика НДС"" "
;VAT номер ;Формат;кнопка Далее;python-stdnum;"Сообщение об ошибке ""Неверный формат Номера плательщика НДС"" "
;VAT номер ;Формат;Завершение мастера;python-stdnum;"Сообщение об ошибке ""Неверный формат Номера плательщика НДС"" "
;VAT номер ;Уникальность;onblur;АПИ - БАЗА - АПИ;"Под полем сообщение об ошибке ""Организация с таким Номером плательщика НДС уже подала заявку или зарегистрирована"" "
;VAT номер ;Уникальность;кнопка Далее;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким Номером плательщика НДС уже подала заявку или зарегистрирована"" "
;VAT номер ;Уникальность;Завершение мастера;АПИ - БАЗА - АПИ;"Сообщение об ошибке ""Организация с таким Номером плательщика НДС уже подала заявку или зарегистрирована"" "
;IBAN;Формат;onblur;python-stdnum;"Под полем сообщение об ошибке ""Неверный формат IBAN"" "
;IBAN;Формат;кнопка Далее;python-stdnum;"Cообщение об ошибке ""Неверный формат IBAN"" "
